Iteration,Blue Action,Blue Observation,Blue Reward,Red Action,Red Observation,Red Reward
0,DecoyFemitter User2,"{'User2': {'Processes': [{'PID': 20410, 'PPID': 1, 'Service Name': 'femitter', 'Username': 'SYSTEM'}]}}",0.0,DiscoverRemoteSystems 10.0.94.176/28,"{'success': <TrinaryEnum.TRUE: 1>, '10.0.94.178': {'Interface': [{'IP Address': IPv4Address('10.0.94.178'), 'Subnet': IPv4Network('10.0.94.176/28')}]}, '10.0.94.180': {'Interface': [{'IP Address': IPv4Address('10.0.94.180'), 'Subnet': IPv4Network('10.0.94.176/28')}]}, '10.0.94.190': {'Interface': [{'IP Address': IPv4Address('10.0.94.190'), 'Subnet': IPv4Network('10.0.94.176/28')}]}, '10.0.94.187': {'Interface': [{'IP Address': IPv4Address('10.0.94.187'), 'Subnet': IPv4Network('10.0.94.176/28')}]}, '10.0.94.181': {'Interface': [{'IP Address': IPv4Address('10.0.94.181'), 'Subnet': IPv4Network('10.0.94.176/28')}]}}",-0.0
1,DecoyFemitter User2,"{'User4': {'Processes': [{'Connections': [{'local_port': 22, 'remote_port': 59926, 'local_address': IPv4Address('10.0.94.181'), 'remote_address': IPv4Address('10.0.94.178')}]}, {'Connections': [{'local_port': 80, 'remote_port': 53263, 'local_address': IPv4Address('10.0.94.181'), 'remote_address': IPv4Address('10.0.94.178')}]}, {'Connections': [{'local_port': 3390, 'remote_port': 51665, 'local_address': IPv4Address('10.0.94.181'), 'remote_address': IPv4Address('10.0.94.178')}]}, {'Connections': [{'local_port': 443, 'remote_port': 58336, 'local_address': IPv4Address('10.0.94.181'), 'remote_address': IPv4Address('10.0.94.178')}]}, {'Connections': [{'local_port': 25, 'remote_port': 49355, 'local_address': IPv4Address('10.0.94.181'), 'remote_address': IPv4Address('10.0.94.178')}]}], 'Interface': [{'IP Address': IPv4Address('10.0.94.181')}], 'System info': {'Hostname': 'User4', 'OSType': <OperatingSystemType.LINUX: 3>, 'OSDistribution': <OperatingSystemDistribution.UBUNTU: 8>, 'OSVersion': <OperatingSystemVersion.U18_04_3: 6>, 'Architecture': <Architecture.x64: 2>}}}",0.0,DiscoverNetworkServices 10.0.94.181,"{'success': <TrinaryEnum.TRUE: 1>, '10.0.94.181': {'Processes': [{'Connections': [{'local_port': 22, 'local_address': IPv4Address('10.0.94.181')}]}, {'Connections': [{'local_port': 80, 'local_address': IPv4Address('10.0.94.181')}]}, {'Connections': [{'local_port': 3390, 'local_address': IPv4Address('10.0.94.181')}]}, {'Connections': [{'local_port': 443, 'local_address': IPv4Address('10.0.94.181')}]}, {'Connections': [{'local_port': 25, 'local_address': IPv4Address('10.0.94.181')}]}], 'Interface': [{'IP Address': IPv4Address('10.0.94.181')}]}}",-0.0
2,DecoyHarakaSMPT Enterprise0,"{'Enterprise0': {'Processes': [{'PID': 22014, 'PPID': 1, 'Service Name': 'haraka', 'Username': 'ubuntu'}]}, 'User4': {'Processes': [{'Connections': [{'local_port': 25, 'remote_port': 51361, 'local_address': IPv4Address('10.0.94.181'), 'remote_address': IPv4Address('10.0.94.178')}]}, {'PID': 31577, 'Connections': [{'local_port': 53086, 'remote_port': 4444, 'local_address': IPv4Address('10.0.94.181'), 'remote_address': IPv4Address('10.0.94.178')}]}], 'Interface': [{'IP Address': IPv4Address('10.0.94.181')}], 'System info': {'Hostname': 'User4', 'OSType': <OperatingSystemType.LINUX: 3>, 'OSDistribution': <OperatingSystemDistribution.UBUNTU: 8>, 'OSVersion': <OperatingSystemVersion.U18_04_3: 6>, 'Architecture': <Architecture.x64: 2>}}}",-0.1,ExploitRemoteService 10.0.94.181,"{'success': <TrinaryEnum.TRUE: 1>, '10.0.94.178': {'Processes': [{'Connections': [{'local_port': 4444, 'remote_port': 53086, 'local_address': IPv4Address('10.0.94.178'), 'remote_address': IPv4Address('10.0.94.181')}], 'Process Type': <ProcessType.REVERSE_SESSION_HANDLER: 10>}], 'Interface': [{'IP Address': IPv4Address('10.0.94.178')}]}, '10.0.94.181': {'Processes': [{'Connections': [{'local_port': 53086, 'remote_port': 4444, 'local_address': IPv4Address('10.0.94.181'), 'remote_address': IPv4Address('10.0.94.178')}], 'Process Type': <ProcessType.REVERSE_SESSION: 11>}, {'Connections': [{'local_port': 25, 'local_address': IPv4Address('10.0.94.181'), 'Status': <ProcessState.OPEN: 2>}], 'Process Type': <ProcessType.SMTP: 5>}], 'Interface': [{'IP Address': IPv4Address('10.0.94.181')}], 'Sessions': [{'ID': 1, 'Type': <SessionType.RED_REVERSE_SHELL: 11>, 'Agent': 'Red'}], 'System info': {'Hostname': 'User4', 'OSType': <OperatingSystemType.LINUX: 3>}}}",0.1
3,DecoyFemitter Enterprise1,"{'Enterprise1': {'Processes': [{'PID': 8673, 'PPID': 1, 'Service Name': 'femitter', 'Username': 'SYSTEM'}]}}",-0.1,PrivilegeEscalate User4,"{'success': <TrinaryEnum.TRUE: 1>, 'User4': {'Sessions': [{'Username': 'root', 'ID': 1, 'Timeout': 0, 'PID': 31577, 'Type': <SessionType.RED_REVERSE_SHELL: 11>, 'Agent': 'Red'}], 'Processes': [{'PID': 31577, 'Username': 'root'}], 'Interface': [{'Interface Name': 'eth0', 'IP Address': IPv4Address('10.0.94.181'), 'Subnet': IPv4Network('10.0.94.176/28')}]}, 'Enterprise0': {'Interface': [{'IP Address': IPv4Address('10.0.11.24')}]}}",0.1
4,DecoyApache Enterprise0,"{'Enterprise0': {'Processes': [{'PID': 27159, 'PPID': 1, 'Service Name': 'apache2', 'Username': 'ubuntu', 'Properties': ['rfi']}, {'Connections': [{'local_port': 22, 'remote_port': 59815, 'local_address': IPv4Address('10.0.11.24'), 'remote_address': IPv4Address('10.0.94.178')}]}, {'Connections': [{'local_port': 25, 'remote_port': 50474, 'local_address': IPv4Address('10.0.11.24'), 'remote_address': IPv4Address('10.0.94.178')}]}, {'Connections': [{'local_port': 80, 'remote_port': 49176, 'local_address': IPv4Address('10.0.11.24'), 'remote_address': IPv4Address('10.0.94.178')}]}], 'Interface': [{'IP Address': IPv4Address('10.0.11.24')}], 'System info': {'Hostname': 'Enterprise0', 'OSType': <OperatingSystemType.LINUX: 3>, 'OSDistribution': <OperatingSystemDistribution.UBUNTU: 8>, 'OSVersion': <OperatingSystemVersion.U18_04_3: 6>, 'Architecture': <Architecture.x64: 2>}}}",-0.1,DiscoverNetworkServices 10.0.11.24,"{'success': <TrinaryEnum.TRUE: 1>, '10.0.11.24': {'Processes': [{'Connections': [{'local_port': 22, 'local_address': IPv4Address('10.0.11.24')}]}, {'Connections': [{'local_port': 25, 'local_address': IPv4Address('10.0.11.24')}]}, {'Connections': [{'local_port': 80, 'local_address': IPv4Address('10.0.11.24')}]}], 'Interface': [{'IP Address': IPv4Address('10.0.11.24')}]}}",0.1
5,DecoyFemitter Op_Host0,"{'Enterprise0': {'Processes': [{'Connections': [{'local_port': 25, 'remote_port': 52807, 'local_address': IPv4Address('10.0.11.24'), 'remote_address': IPv4Address('10.0.94.178')}]}, {'Connections': [{'local_port': 25, 'local_address': IPv4Address('10.0.11.24'), 'remote_address': IPv4Address('10.0.94.178')}]}], 'Interface': [{'IP Address': IPv4Address('10.0.11.24')}], 'System info': {'Hostname': 'Enterprise0', 'OSType': <OperatingSystemType.LINUX: 3>, 'OSDistribution': <OperatingSystemDistribution.UBUNTU: 8>, 'OSVersion': <OperatingSystemVersion.U18_04_3: 6>, 'Architecture': <Architecture.x64: 2>}}}",-0.1,ExploitRemoteService 10.0.11.24,"{'success': <TrinaryEnum.FALSE: 3>, '1': {'Interface': [{'IP Address': IPv4Address('10.0.11.24')}]}, '10.0.11.24': {'Processes': [{'Connections': [{'local_port': 25, 'local_address': IPv4Address('10.0.11.24'), 'Status': <ProcessState.OPEN: 2>}], 'Process Type': <ProcessType.SMTP: 5>}], 'Interface': [{'IP Address': IPv4Address('10.0.11.24')}]}}",0.1
6,DecoyFemitter Op_Host0,"{'User4': {'Processes': [{'Connections': [{'local_port': 443, 'remote_port': 58460, 'local_address': IPv4Address('10.0.94.181'), 'remote_address': IPv4Address('10.0.94.178')}]}, {'PID': 2067, 'Connections': [{'local_port': 55941, 'remote_port': 4444, 'local_address': IPv4Address('10.0.94.181'), 'remote_address': IPv4Address('10.0.94.178')}]}], 'Interface': [{'IP Address': IPv4Address('10.0.94.181')}], 'System info': {'Hostname': 'User4', 'OSType': <OperatingSystemType.LINUX: 3>, 'OSDistribution': <OperatingSystemDistribution.UBUNTU: 8>, 'OSVersion': <OperatingSystemVersion.U18_04_3: 6>, 'Architecture': <Architecture.x64: 2>}}}",-0.1,ExploitRemoteService 10.0.94.181,"{'success': <TrinaryEnum.TRUE: 1>, '10.0.94.178': {'Processes': [{'Connections': [{'local_port': 4444, 'remote_port': 55941, 'local_address': IPv4Address('10.0.94.178'), 'remote_address': IPv4Address('10.0.94.181')}], 'Process Type': <ProcessType.REVERSE_SESSION_HANDLER: 10>}], 'Interface': [{'IP Address': IPv4Address('10.0.94.178')}]}, '10.0.94.181': {'Processes': [{'Connections': [{'local_port': 55941, 'remote_port': 4444, 'local_address': IPv4Address('10.0.94.181'), 'remote_address': IPv4Address('10.0.94.178')}], 'Process Type': <ProcessType.REVERSE_SESSION: 11>}, {'Connections': [{'local_port': 443, 'local_address': IPv4Address('10.0.94.181'), 'Status': <ProcessState.OPEN: 2>}], 'Process Type': <ProcessType.WEBSERVER: 7>}], 'Interface': [{'IP Address': IPv4Address('10.0.94.181')}], 'Sessions': [{'ID': 2, 'Type': <SessionType.RED_REVERSE_SHELL: 11>, 'Agent': 'Red'}], 'System info': {'Hostname': 'User4', 'OSType': <OperatingSystemType.LINUX: 3>}}}",0.1
7,DecoyTomcat Enterprise0,"{'Enterprise0': {'Processes': [{'PID': 10857, 'PPID': 1, 'Service Name': 'tomcat', 'Username': 'ubuntu', 'Properties': ['rfi']}]}}",-0.1,PrivilegeEscalate User4,"{'success': <TrinaryEnum.TRUE: 1>, 'User4': {'Sessions': [{'Username': 'root', 'ID': 1, 'Timeout': 0, 'PID': 31577, 'Type': <SessionType.RED_REVERSE_SHELL: 11>, 'Agent': 'Red'}], 'Processes': [{'PID': 31577, 'Username': 'root'}], 'Interface': [{'Interface Name': 'eth0', 'IP Address': IPv4Address('10.0.94.181'), 'Subnet': IPv4Network('10.0.94.176/28')}]}, 'Enterprise0': {'Interface': [{'IP Address': IPv4Address('10.0.11.24')}]}}",0.1
8,DecoyApache Enterprise0,"{'Enterprise0': {'Processes': [{'Connections': [{'local_port': 22, 'remote_port': 50198, 'local_address': IPv4Address('10.0.11.24'), 'remote_address': IPv4Address('10.0.94.178')}]}, {'Connections': [{'local_port': 25, 'remote_port': 53399, 'local_address': IPv4Address('10.0.11.24'), 'remote_address': IPv4Address('10.0.94.178')}]}, {'Connections': [{'local_port': 80, 'remote_port': 51735, 'local_address': IPv4Address('10.0.11.24'), 'remote_address': IPv4Address('10.0.94.178')}]}, {'Connections': [{'local_port': 443, 'remote_port': 56465, 'local_address': IPv4Address('10.0.11.24'), 'remote_address': IPv4Address('10.0.94.178')}]}], 'Interface': [{'IP Address': IPv4Address('10.0.11.24')}], 'System info': {'Hostname': 'Enterprise0', 'OSType': <OperatingSystemType.LINUX: 3>, 'OSDistribution': <OperatingSystemDistribution.UBUNTU: 8>, 'OSVersion': <OperatingSystemVersion.U18_04_3: 6>, 'Architecture': <Architecture.x64: 2>}}}",-0.1,DiscoverNetworkServices 10.0.11.24,"{'success': <TrinaryEnum.TRUE: 1>, '10.0.11.24': {'Processes': [{'Connections': [{'local_port': 22, 'local_address': IPv4Address('10.0.11.24')}]}, {'Connections': [{'local_port': 25, 'local_address': IPv4Address('10.0.11.24')}]}, {'Connections': [{'local_port': 80, 'local_address': IPv4Address('10.0.11.24')}]}, {'Connections': [{'local_port': 443, 'local_address': IPv4Address('10.0.11.24')}]}], 'Interface': [{'IP Address': IPv4Address('10.0.11.24')}]}}",0.1
9,DecoyFemitter Op_Host0,"{'Enterprise0': {'Processes': [{'Connections': [{'local_port': 25, 'remote_port': 49153, 'local_address': IPv4Address('10.0.11.24'), 'remote_address': IPv4Address('10.0.94.178')}]}, {'Connections': [{'local_port': 25, 'local_address': IPv4Address('10.0.11.24'), 'remote_address': IPv4Address('10.0.94.178')}]}], 'Interface': [{'IP Address': IPv4Address('10.0.11.24')}], 'System info': {'Hostname': 'Enterprise0', 'OSType': <OperatingSystemType.LINUX: 3>, 'OSDistribution': <OperatingSystemDistribution.UBUNTU: 8>, 'OSVersion': <OperatingSystemVersion.U18_04_3: 6>, 'Architecture': <Architecture.x64: 2>}}}",-0.1,ExploitRemoteService 10.0.11.24,"{'success': <TrinaryEnum.FALSE: 3>, '1': {'Interface': [{'IP Address': IPv4Address('10.0.11.24')}]}, '10.0.11.24': {'Processes': [{'Connections': [{'local_port': 25, 'local_address': IPv4Address('10.0.11.24'), 'Status': <ProcessState.OPEN: 2>}], 'Process Type': <ProcessType.SMTP: 5>}], 'Interface': [{'IP Address': IPv4Address('10.0.11.24')}]}}",0.1
