Iteration,Blue Action,Blue Observation,Blue Reward,Red Action,Red Observation,Red Reward
0,DecoyFemitter User2,"{'success': <TrinaryEnum.TRUE: 1>, 'User2': {'Processes': [{'PID': 12122, 'PPID': 1, 'Service Name': 'femitter', 'Username': 'SYSTEM'}]}}",0.0,DiscoverRemoteSystems user_subnet,"{'success': <TrinaryEnum.TRUE: 1>, '10.0.214.186': {'Interface': [{'IP Address': IPv4Address('10.0.214.186'), 'Subnet': IPv4Network('10.0.214.176/28')}]}, '10.0.214.187': {'Interface': [{'IP Address': IPv4Address('10.0.214.187'), 'Subnet': IPv4Network('10.0.214.176/28')}]}, '10.0.214.182': {'Interface': [{'IP Address': IPv4Address('10.0.214.182'), 'Subnet': IPv4Network('10.0.214.176/28')}]}, '10.0.214.180': {'Interface': [{'IP Address': IPv4Address('10.0.214.180'), 'Subnet': IPv4Network('10.0.214.176/28')}]}, '10.0.214.189': {'Interface': [{'IP Address': IPv4Address('10.0.214.189'), 'Subnet': IPv4Network('10.0.214.176/28')}]}}",-0.0
1,DecoyTomcat User2,"{'success': <TrinaryEnum.TRUE: 1>, 'User2': {'Processes': [{'PID': 13800, 'PPID': 1, 'Service Name': 'tomcat', 'Username': 'ubuntu', 'Properties': ['rfi']}]}, 'User1': {'Processes': [{'Connections': [{'local_port': 22, 'remote_port': 49525, 'local_address': IPv4Address('10.0.214.187'), 'remote_address': IPv4Address('10.0.214.186')}]}, {'Connections': [{'local_port': 21, 'remote_port': 58068, 'local_address': IPv4Address('10.0.214.187'), 'remote_address': IPv4Address('10.0.214.186')}]}], 'Interface': [{'IP Address': IPv4Address('10.0.214.187')}], 'System info': {'Hostname': 'User1', 'OSType': <OperatingSystemType.WINDOWS: 2>, 'OSDistribution': <OperatingSystemDistribution.WINDOWS_SVR_2008: 4>, 'OSVersion': <OperatingSystemVersion.W6_1_7601: 13>, 'Architecture': <Architecture.x64: 2>}}}",0.0,DiscoverNetworkServices User1,"{'success': <TrinaryEnum.TRUE: 1>, '10.0.214.187': {'Processes': [{'Connections': [{'local_port': 22, 'local_address': IPv4Address('10.0.214.187')}]}, {'Connections': [{'local_port': 21, 'local_address': IPv4Address('10.0.214.187')}]}], 'Interface': [{'IP Address': IPv4Address('10.0.214.187')}]}}",-0.0
2,DecoyHarakaSMPT Enterprise0,"{'success': <TrinaryEnum.TRUE: 1>, 'Enterprise0': {'Processes': [{'PID': 17034, 'PPID': 1, 'Service Name': 'haraka', 'Username': 'ubuntu'}]}, 'User1': {'Processes': [{'Connections': [{'local_port': 21, 'remote_port': 54084, 'local_address': IPv4Address('10.0.214.187'), 'remote_address': IPv4Address('10.0.214.186')}]}, {'PID': 28578, 'Connections': [{'local_port': 54891, 'remote_port': 4444, 'local_address': IPv4Address('10.0.214.187'), 'remote_address': IPv4Address('10.0.214.186')}]}], 'Interface': [{'IP Address': IPv4Address('10.0.214.187')}], 'System info': {'Hostname': 'User1', 'OSType': <OperatingSystemType.WINDOWS: 2>, 'OSDistribution': <OperatingSystemDistribution.WINDOWS_SVR_2008: 4>, 'OSVersion': <OperatingSystemVersion.W6_1_7601: 13>, 'Architecture': <Architecture.x64: 2>}}}",-0.1,ExploitRemoteService User1,"{'success': <TrinaryEnum.TRUE: 1>, '10.0.214.186': {'Processes': [{'Connections': [{'local_port': 4444, 'remote_port': 54891, 'local_address': IPv4Address('10.0.214.186'), 'remote_address': IPv4Address('10.0.214.187')}], 'Process Type': <ProcessType.REVERSE_SESSION_HANDLER: 10>}], 'Interface': [{'IP Address': IPv4Address('10.0.214.186')}]}, '10.0.214.187': {'Processes': [{'Connections': [{'local_port': 54891, 'remote_port': 4444, 'local_address': IPv4Address('10.0.214.187'), 'remote_address': IPv4Address('10.0.214.186')}], 'Process Type': <ProcessType.REVERSE_SESSION: 11>}, {'Connections': [{'local_port': 21, 'local_address': IPv4Address('10.0.214.187'), 'Status': <ProcessState.OPEN: 2>}], 'Process Type': <ProcessType.FEMITTER: 6>}], 'Interface': [{'IP Address': IPv4Address('10.0.214.187')}], 'Sessions': [{'ID': 1, 'Type': <SessionType.RED_REVERSE_SHELL: 11>, 'Agent': 'Red'}], 'System info': {'Hostname': 'User1', 'OSType': <OperatingSystemType.WINDOWS: 2>}}}",0.1
3,DecoyFemitter Enterprise1,"{'success': <TrinaryEnum.TRUE: 1>, 'Enterprise1': {'Processes': [{'PID': 6613, 'PPID': 1, 'Service Name': 'femitter', 'Username': 'SYSTEM'}]}}",-0.1,PrivilegeEscalate User1,"{'success': <TrinaryEnum.TRUE: 1>, 'User1': {'Sessions': [{'Username': 'SYSTEM', 'ID': 1, 'Timeout': 0, 'PID': 28578, 'Type': <SessionType.RED_REVERSE_SHELL: 11>, 'Agent': 'Red'}], 'Processes': [{'PID': 28578, 'Username': 'SYSTEM'}], 'Interface': [{'Interface Name': 'eth0', 'IP Address': IPv4Address('10.0.214.187'), 'Subnet': IPv4Network('10.0.214.176/28')}]}, 'Enterprise1': {'Interface': [{'IP Address': IPv4Address('10.0.120.158')}]}}",0.1
4,Analyse User2,"{'success': <TrinaryEnum.TRUE: 1>, 'Enterprise1': {'Processes': [{'Connections': [{'local_port': 22, 'remote_port': 52418, 'local_address': IPv4Address('10.0.120.158'), 'remote_address': IPv4Address('10.0.214.186')}]}, {'Connections': [{'local_port': 135, 'remote_port': 53414, 'local_address': IPv4Address('10.0.120.158'), 'remote_address': IPv4Address('10.0.214.186')}]}, {'Connections': [{'local_port': 3389, 'remote_port': 55026, 'local_address': IPv4Address('10.0.120.158'), 'remote_address': IPv4Address('10.0.214.186')}]}, {'Connections': [{'local_port': 445, 'remote_port': 56856, 'local_address': IPv4Address('10.0.120.158'), 'remote_address': IPv4Address('10.0.214.186')}]}, {'Connections': [{'local_port': 139, 'remote_port': 58487, 'local_address': IPv4Address('10.0.120.158'), 'remote_address': IPv4Address('10.0.214.186')}]}, {'Connections': [{'local_port': 80, 'remote_port': 51927, 'local_address': IPv4Address('10.0.120.158'), 'remote_address': IPv4Address('10.0.214.186')}]}, {'Connections': [{'local_port': 443, 'remote_port': 52484, 'local_address': IPv4Address('10.0.120.158'), 'remote_address': IPv4Address('10.0.214.186')}]}, {'Connections': [{'local_port': 21, 'remote_port': 50103, 'local_address': IPv4Address('10.0.120.158'), 'remote_address': IPv4Address('10.0.214.186')}]}], 'Interface': [{'IP Address': IPv4Address('10.0.120.158')}], 'System info': {'Hostname': 'Enterprise1', 'OSType': <OperatingSystemType.WINDOWS: 2>, 'OSDistribution': <OperatingSystemDistribution.WINDOWS_SVR_2008: 4>, 'OSVersion': <OperatingSystemVersion.W6_1_7601: 13>, 'Architecture': <Architecture.x64: 2>}}}",-0.1,DiscoverNetworkServices Enterprise1,"{'success': <TrinaryEnum.TRUE: 1>, '10.0.120.158': {'Processes': [{'Connections': [{'local_port': 22, 'local_address': IPv4Address('10.0.120.158')}]}, {'Connections': [{'local_port': 135, 'local_address': IPv4Address('10.0.120.158')}]}, {'Connections': [{'local_port': 3389, 'local_address': IPv4Address('10.0.120.158')}]}, {'Connections': [{'local_port': 445, 'local_address': IPv4Address('10.0.120.158')}]}, {'Connections': [{'local_port': 139, 'local_address': IPv4Address('10.0.120.158')}]}, {'Connections': [{'local_port': 80, 'local_address': IPv4Address('10.0.120.158')}]}, {'Connections': [{'local_port': 443, 'local_address': IPv4Address('10.0.120.158')}]}, {'Connections': [{'local_port': 21, 'local_address': IPv4Address('10.0.120.158')}]}], 'Interface': [{'IP Address': IPv4Address('10.0.120.158')}]}}",0.1
5,Remove User3,"{'success': <TrinaryEnum.TRUE: 1>, 'Enterprise1': {'Processes': [{'Connections': [{'local_port': 21, 'remote_port': 53259, 'local_address': IPv4Address('10.0.120.158'), 'remote_address': IPv4Address('10.0.214.186')}]}, {'Connections': [{'local_port': 21, 'local_address': IPv4Address('10.0.120.158'), 'remote_address': IPv4Address('10.0.214.186')}]}], 'Interface': [{'IP Address': IPv4Address('10.0.120.158')}], 'System info': {'Hostname': 'Enterprise1', 'OSType': <OperatingSystemType.WINDOWS: 2>, 'OSDistribution': <OperatingSystemDistribution.WINDOWS_SVR_2008: 4>, 'OSVersion': <OperatingSystemVersion.W6_1_7601: 13>, 'Architecture': <Architecture.x64: 2>}}}",-0.1,ExploitRemoteService Enterprise1,"{'success': <TrinaryEnum.FALSE: 3>, '1': {'Interface': [{'IP Address': IPv4Address('10.0.120.158')}]}, '10.0.120.158': {'Processes': [{'Connections': [{'local_port': 21, 'local_address': IPv4Address('10.0.120.158'), 'Status': <ProcessState.OPEN: 2>}], 'Process Type': <ProcessType.FEMITTER: 6>}], 'Interface': [{'IP Address': IPv4Address('10.0.120.158')}]}}",0.1
6,Remove User3,"{'success': <TrinaryEnum.TRUE: 1>, 'User1': {'Processes': [{'Connections': [{'local_port': 21, 'remote_port': 52016, 'local_address': IPv4Address('10.0.214.187'), 'remote_address': IPv4Address('10.0.214.186')}]}, {'PID': 30908, 'Connections': [{'local_port': 49368, 'remote_port': 4444, 'local_address': IPv4Address('10.0.214.187'), 'remote_address': IPv4Address('10.0.214.186')}]}], 'Interface': [{'IP Address': IPv4Address('10.0.214.187')}], 'System info': {'Hostname': 'User1', 'OSType': <OperatingSystemType.WINDOWS: 2>, 'OSDistribution': <OperatingSystemDistribution.WINDOWS_SVR_2008: 4>, 'OSVersion': <OperatingSystemVersion.W6_1_7601: 13>, 'Architecture': <Architecture.x64: 2>}}}",-0.1,ExploitRemoteService User1,"{'success': <TrinaryEnum.TRUE: 1>, '10.0.214.186': {'Processes': [{'Connections': [{'local_port': 4444, 'remote_port': 49368, 'local_address': IPv4Address('10.0.214.186'), 'remote_address': IPv4Address('10.0.214.187')}], 'Process Type': <ProcessType.REVERSE_SESSION_HANDLER: 10>}], 'Interface': [{'IP Address': IPv4Address('10.0.214.186')}]}, '10.0.214.187': {'Processes': [{'Connections': [{'local_port': 49368, 'remote_port': 4444, 'local_address': IPv4Address('10.0.214.187'), 'remote_address': IPv4Address('10.0.214.186')}], 'Process Type': <ProcessType.REVERSE_SESSION: 11>}, {'Connections': [{'local_port': 21, 'local_address': IPv4Address('10.0.214.187'), 'Status': <ProcessState.OPEN: 2>}], 'Process Type': <ProcessType.FEMITTER: 6>}], 'Interface': [{'IP Address': IPv4Address('10.0.214.187')}], 'Sessions': [{'ID': 2, 'Type': <SessionType.RED_REVERSE_SHELL: 11>, 'Agent': 'Red'}], 'System info': {'Hostname': 'User1', 'OSType': <OperatingSystemType.WINDOWS: 2>}}}",0.1
7,Remove User3,{'success': <TrinaryEnum.TRUE: 1>},-0.1,PrivilegeEscalate User1,"{'success': <TrinaryEnum.TRUE: 1>, 'User1': {'Sessions': [{'Username': 'SYSTEM', 'ID': 1, 'Timeout': 0, 'PID': 28578, 'Type': <SessionType.RED_REVERSE_SHELL: 11>, 'Agent': 'Red'}], 'Processes': [{'PID': 28578, 'Username': 'SYSTEM'}], 'Interface': [{'Interface Name': 'eth0', 'IP Address': IPv4Address('10.0.214.187'), 'Subnet': IPv4Network('10.0.214.176/28')}]}, 'Enterprise1': {'Interface': [{'IP Address': IPv4Address('10.0.120.158')}]}}",0.1
8,Remove User3,"{'success': <TrinaryEnum.TRUE: 1>, 'Enterprise1': {'Processes': [{'Connections': [{'local_port': 22, 'remote_port': 55519, 'local_address': IPv4Address('10.0.120.158'), 'remote_address': IPv4Address('10.0.214.186')}]}, {'Connections': [{'local_port': 135, 'remote_port': 59926, 'local_address': IPv4Address('10.0.120.158'), 'remote_address': IPv4Address('10.0.214.186')}]}, {'Connections': [{'local_port': 3389, 'remote_port': 53263, 'local_address': IPv4Address('10.0.120.158'), 'remote_address': IPv4Address('10.0.214.186')}]}, {'Connections': [{'local_port': 445, 'remote_port': 51665, 'local_address': IPv4Address('10.0.120.158'), 'remote_address': IPv4Address('10.0.214.186')}]}, {'Connections': [{'local_port': 139, 'remote_port': 58336, 'local_address': IPv4Address('10.0.120.158'), 'remote_address': IPv4Address('10.0.214.186')}]}, {'Connections': [{'local_port': 80, 'remote_port': 49355, 'local_address': IPv4Address('10.0.120.158'), 'remote_address': IPv4Address('10.0.214.186')}]}, {'Connections': [{'local_port': 443, 'remote_port': 56655, 'local_address': IPv4Address('10.0.120.158'), 'remote_address': IPv4Address('10.0.214.186')}]}, {'Connections': [{'local_port': 21, 'remote_port': 50447, 'local_address': IPv4Address('10.0.120.158'), 'remote_address': IPv4Address('10.0.214.186')}]}], 'Interface': [{'IP Address': IPv4Address('10.0.120.158')}], 'System info': {'Hostname': 'Enterprise1', 'OSType': <OperatingSystemType.WINDOWS: 2>, 'OSDistribution': <OperatingSystemDistribution.WINDOWS_SVR_2008: 4>, 'OSVersion': <OperatingSystemVersion.W6_1_7601: 13>, 'Architecture': <Architecture.x64: 2>}}}",-0.1,DiscoverNetworkServices Enterprise1,"{'success': <TrinaryEnum.TRUE: 1>, '10.0.120.158': {'Processes': [{'Connections': [{'local_port': 22, 'local_address': IPv4Address('10.0.120.158')}]}, {'Connections': [{'local_port': 135, 'local_address': IPv4Address('10.0.120.158')}]}, {'Connections': [{'local_port': 3389, 'local_address': IPv4Address('10.0.120.158')}]}, {'Connections': [{'local_port': 445, 'local_address': IPv4Address('10.0.120.158')}]}, {'Connections': [{'local_port': 139, 'local_address': IPv4Address('10.0.120.158')}]}, {'Connections': [{'local_port': 80, 'local_address': IPv4Address('10.0.120.158')}]}, {'Connections': [{'local_port': 443, 'local_address': IPv4Address('10.0.120.158')}]}, {'Connections': [{'local_port': 21, 'local_address': IPv4Address('10.0.120.158')}]}], 'Interface': [{'IP Address': IPv4Address('10.0.120.158')}]}}",0.1
9,Remove User3,"{'success': <TrinaryEnum.TRUE: 1>, 'Enterprise1': {'Processes': [{'Connections': [{'local_port': 21, 'remote_port': 51361, 'local_address': IPv4Address('10.0.120.158'), 'remote_address': IPv4Address('10.0.214.186')}]}, {'Connections': [{'local_port': 21, 'local_address': IPv4Address('10.0.120.158'), 'remote_address': IPv4Address('10.0.214.186')}]}], 'Interface': [{'IP Address': IPv4Address('10.0.120.158')}], 'System info': {'Hostname': 'Enterprise1', 'OSType': <OperatingSystemType.WINDOWS: 2>, 'OSDistribution': <OperatingSystemDistribution.WINDOWS_SVR_2008: 4>, 'OSVersion': <OperatingSystemVersion.W6_1_7601: 13>, 'Architecture': <Architecture.x64: 2>}}}",-0.1,ExploitRemoteService Enterprise1,"{'success': <TrinaryEnum.FALSE: 3>, '1': {'Interface': [{'IP Address': IPv4Address('10.0.120.158')}]}, '10.0.120.158': {'Processes': [{'Connections': [{'local_port': 21, 'local_address': IPv4Address('10.0.120.158'), 'Status': <ProcessState.OPEN: 2>}], 'Process Type': <ProcessType.FEMITTER: 6>}], 'Interface': [{'IP Address': IPv4Address('10.0.120.158')}]}}",0.1
