Iteration,Blue Action,Blue Observation,Blue Reward,Red Action,Red Observation,Red Reward
0,DecoyApache Enterprise0,"{'Enterprise0': {'Processes': [{'PID': 20410, 'PPID': 1, 'Service Name': 'apache2', 'Username': 'ubuntu', 'Properties': ['rfi']}]}}",0.0,DiscoverRemoteSystems 10.0.94.176/28,"{'success': <TrinaryEnum.TRUE: 1>, '10.0.94.178': {'Interface': [{'IP Address': IPv4Address('10.0.94.178'), 'Subnet': IPv4Network('10.0.94.176/28')}]}, '10.0.94.180': {'Interface': [{'IP Address': IPv4Address('10.0.94.180'), 'Subnet': IPv4Network('10.0.94.176/28')}]}, '10.0.94.190': {'Interface': [{'IP Address': IPv4Address('10.0.94.190'), 'Subnet': IPv4Network('10.0.94.176/28')}]}, '10.0.94.187': {'Interface': [{'IP Address': IPv4Address('10.0.94.187'), 'Subnet': IPv4Network('10.0.94.176/28')}]}, '10.0.94.181': {'Interface': [{'IP Address': IPv4Address('10.0.94.181'), 'Subnet': IPv4Network('10.0.94.176/28')}]}}",-0.0
1,DecoyApache User0,"{'User0': {'Processes': [{'PID': 16445, 'PPID': 1, 'Service Name': 'apache2', 'Username': 'ubuntu', 'Properties': ['rfi']}]}, 'User2': {'Processes': [{'Connections': [{'local_port': 445, 'remote_port': 58336, 'local_address': IPv4Address('10.0.94.190'), 'remote_address': IPv4Address('10.0.94.178')}]}, {'Connections': [{'local_port': 139, 'remote_port': 49355, 'local_address': IPv4Address('10.0.94.190'), 'remote_address': IPv4Address('10.0.94.178')}]}, {'Connections': [{'local_port': 135, 'remote_port': 56655, 'local_address': IPv4Address('10.0.94.190'), 'remote_address': IPv4Address('10.0.94.178')}]}, {'Connections': [{'local_port': 3389, 'remote_port': 50447, 'local_address': IPv4Address('10.0.94.190'), 'remote_address': IPv4Address('10.0.94.178')}]}], 'Interface': [{'IP Address': IPv4Address('10.0.94.190')}], 'System info': {'Hostname': 'User2', 'OSType': <OperatingSystemType.WINDOWS: 2>, 'OSDistribution': <OperatingSystemDistribution.WINDOWS_SVR_2008: 4>, 'OSVersion': <OperatingSystemVersion.W6_1_7601: 13>, 'Architecture': <Architecture.x64: 2>}}}",0.0,DiscoverNetworkServices 10.0.94.190,"{'success': <TrinaryEnum.TRUE: 1>, '10.0.94.190': {'Processes': [{'Connections': [{'local_port': 445, 'local_address': IPv4Address('10.0.94.190')}]}, {'Connections': [{'local_port': 139, 'local_address': IPv4Address('10.0.94.190')}]}, {'Connections': [{'local_port': 135, 'local_address': IPv4Address('10.0.94.190')}]}, {'Connections': [{'local_port': 3389, 'local_address': IPv4Address('10.0.94.190')}]}], 'Interface': [{'IP Address': IPv4Address('10.0.94.190')}]}}",-0.0
2,DecoyFemitter Enterprise1,"{'Enterprise1': {'Processes': [{'PID': 18407, 'PPID': 1, 'Service Name': 'femitter', 'Username': 'SYSTEM'}]}, 'User2': {'Processes': [{'Connections': [{'local_port': 3389, 'remote_port': 57046, 'local_address': IPv4Address('10.0.94.190'), 'remote_address': IPv4Address('10.0.94.178')}]}, {'PID': 18866, 'Connections': [{'local_port': 54922, 'remote_port': 4444, 'local_address': IPv4Address('10.0.94.190'), 'remote_address': IPv4Address('10.0.94.178')}]}], 'Interface': [{'IP Address': IPv4Address('10.0.94.190')}], 'System info': {'Hostname': 'User2', 'OSType': <OperatingSystemType.WINDOWS: 2>, 'OSDistribution': <OperatingSystemDistribution.WINDOWS_SVR_2008: 4>, 'OSVersion': <OperatingSystemVersion.W6_1_7601: 13>, 'Architecture': <Architecture.x64: 2>}}}",0.0,ExploitRemoteService 10.0.94.190,"{'success': <TrinaryEnum.TRUE: 1>, '10.0.94.178': {'Processes': [{'Connections': [{'local_port': 4444, 'remote_port': 54922, 'local_address': IPv4Address('10.0.94.178'), 'remote_address': IPv4Address('10.0.94.190')}], 'Process Type': <ProcessType.REVERSE_SESSION_HANDLER: 10>}], 'Interface': [{'IP Address': IPv4Address('10.0.94.178')}]}, '10.0.94.190': {'Processes': [{'Connections': [{'local_port': 54922, 'remote_port': 4444, 'local_address': IPv4Address('10.0.94.190'), 'remote_address': IPv4Address('10.0.94.178')}], 'Process Type': <ProcessType.REVERSE_SESSION: 11>}, {'Connections': [{'local_port': 3389, 'local_address': IPv4Address('10.0.94.190'), 'Status': <ProcessState.OPEN: 2>}], 'Process Type': <ProcessType.RDP: 9>}], 'Interface': [{'IP Address': IPv4Address('10.0.94.190')}], 'Sessions': [{'ID': 1, 'Type': <SessionType.RED_REVERSE_SHELL: 11>, 'Agent': 'Red'}], 'System info': {'Hostname': 'User2', 'OSType': <OperatingSystemType.WINDOWS: 2>}}}",-0.0
3,DecoyFemitter Enterprise2,"{'Enterprise2': {'Processes': [{'PID': 25429, 'PPID': 1, 'Service Name': 'femitter', 'Username': 'SYSTEM'}]}}",-0.1,PrivilegeEscalate User2,"{'success': <TrinaryEnum.TRUE: 1>, 'User2': {'Sessions': [{'Username': 'SYSTEM', 'ID': 1, 'Type': <SessionType.RED_REVERSE_SHELL: 11>, 'Agent': 'Red'}], 'Interface': [{'Interface Name': 'eth0', 'IP Address': IPv4Address('10.0.94.190'), 'Subnet': IPv4Network('10.0.94.176/28')}]}, 'Enterprise1': {'Interface': [{'IP Address': IPv4Address('10.0.11.20')}]}}",0.1
4,DecoyApache User0,"{'Enterprise1': {'Processes': [{'Connections': [{'local_port': 22, 'remote_port': 49176, 'local_address': IPv4Address('10.0.11.20'), 'remote_address': IPv4Address('10.0.94.178')}]}, {'Connections': [{'local_port': 135, 'remote_port': 58893, 'local_address': IPv4Address('10.0.11.20'), 'remote_address': IPv4Address('10.0.94.178')}]}, {'Connections': [{'local_port': 3389, 'remote_port': 52302, 'local_address': IPv4Address('10.0.11.20'), 'remote_address': IPv4Address('10.0.94.178')}]}, {'Connections': [{'local_port': 445, 'remote_port': 54630, 'local_address': IPv4Address('10.0.11.20'), 'remote_address': IPv4Address('10.0.94.178')}]}, {'Connections': [{'local_port': 139, 'remote_port': 51774, 'local_address': IPv4Address('10.0.11.20'), 'remote_address': IPv4Address('10.0.94.178')}]}, {'Connections': [{'local_port': 80, 'remote_port': 53074, 'local_address': IPv4Address('10.0.11.20'), 'remote_address': IPv4Address('10.0.94.178')}]}, {'Connections': [{'local_port': 443, 'remote_port': 52807, 'local_address': IPv4Address('10.0.11.20'), 'remote_address': IPv4Address('10.0.94.178')}]}, {'Connections': [{'local_port': 21, 'remote_port': 59595, 'local_address': IPv4Address('10.0.11.20'), 'remote_address': IPv4Address('10.0.94.178')}]}], 'Interface': [{'IP Address': IPv4Address('10.0.11.20')}], 'System info': {'Hostname': 'Enterprise1', 'OSType': <OperatingSystemType.WINDOWS: 2>, 'OSDistribution': <OperatingSystemDistribution.WINDOWS_SVR_2008: 4>, 'OSVersion': <OperatingSystemVersion.W6_1_7601: 13>, 'Architecture': <Architecture.x64: 2>}}}",-0.1,DiscoverNetworkServices 10.0.11.20,"{'success': <TrinaryEnum.TRUE: 1>, '10.0.11.20': {'Processes': [{'Connections': [{'local_port': 22, 'local_address': IPv4Address('10.0.11.20')}]}, {'Connections': [{'local_port': 135, 'local_address': IPv4Address('10.0.11.20')}]}, {'Connections': [{'local_port': 3389, 'local_address': IPv4Address('10.0.11.20')}]}, {'Connections': [{'local_port': 445, 'local_address': IPv4Address('10.0.11.20')}]}, {'Connections': [{'local_port': 139, 'local_address': IPv4Address('10.0.11.20')}]}, {'Connections': [{'local_port': 80, 'local_address': IPv4Address('10.0.11.20')}]}, {'Connections': [{'local_port': 443, 'local_address': IPv4Address('10.0.11.20')}]}, {'Connections': [{'local_port': 21, 'local_address': IPv4Address('10.0.11.20')}]}], 'Interface': [{'IP Address': IPv4Address('10.0.11.20')}]}}",0.1
5,Remove Enterprise1,"{'Enterprise1': {'Processes': [{'Connections': [{'local_port': 3389, 'remote_port': 58460, 'local_address': IPv4Address('10.0.11.20'), 'remote_address': IPv4Address('10.0.94.178')}]}, {'PID': 2067, 'Connections': [{'local_port': 55941, 'remote_port': 4444, 'local_address': IPv4Address('10.0.11.20'), 'remote_address': IPv4Address('10.0.94.178')}]}], 'Interface': [{'IP Address': IPv4Address('10.0.11.20')}], 'System info': {'Hostname': 'Enterprise1', 'OSType': <OperatingSystemType.WINDOWS: 2>, 'OSDistribution': <OperatingSystemDistribution.WINDOWS_SVR_2008: 4>, 'OSVersion': <OperatingSystemVersion.W6_1_7601: 13>, 'Architecture': <Architecture.x64: 2>}}}",-1.1,ExploitRemoteService 10.0.11.20,"{'success': <TrinaryEnum.TRUE: 1>, '10.0.94.178': {'Processes': [{'Connections': [{'local_port': 4444, 'remote_port': 55941, 'local_address': IPv4Address('10.0.94.178'), 'remote_address': IPv4Address('10.0.11.20')}], 'Process Type': <ProcessType.REVERSE_SESSION_HANDLER: 10>}], 'Interface': [{'IP Address': IPv4Address('10.0.94.178')}]}, '10.0.11.20': {'Processes': [{'Connections': [{'local_port': 55941, 'remote_port': 4444, 'local_address': IPv4Address('10.0.11.20'), 'remote_address': IPv4Address('10.0.94.178')}], 'Process Type': <ProcessType.REVERSE_SESSION: 11>}, {'Connections': [{'local_port': 3389, 'local_address': IPv4Address('10.0.11.20'), 'Status': <ProcessState.OPEN: 2>}], 'Process Type': <ProcessType.RDP: 9>}], 'Interface': [{'IP Address': IPv4Address('10.0.11.20')}], 'Sessions': [{'ID': 2, 'Type': <SessionType.RED_REVERSE_SHELL: 11>, 'Agent': 'Red'}], 'System info': {'Hostname': 'Enterprise1', 'OSType': <OperatingSystemType.WINDOWS: 2>}}}",1.1
6,Restore Enterprise1,{},-1.1,PrivilegeEscalate Enterprise1,{'success': <TrinaryEnum.FALSE: 3>},1.1
7,Analyse User0,{},-0.1,ExploitRemoteService 10.0.11.20,{'success': <TrinaryEnum.FALSE: 3>},0.1
8,Analyse User0,"{'User2': {'Processes': [{'Connections': [{'local_port': 3389, 'remote_port': 58350, 'local_address': IPv4Address('10.0.94.190'), 'remote_address': IPv4Address('10.0.94.178')}]}, {'PID': 2550, 'Connections': [{'local_port': 59047, 'remote_port': 4444, 'local_address': IPv4Address('10.0.94.190'), 'remote_address': IPv4Address('10.0.94.178')}]}], 'Interface': [{'IP Address': IPv4Address('10.0.94.190')}], 'System info': {'Hostname': 'User2', 'OSType': <OperatingSystemType.WINDOWS: 2>, 'OSDistribution': <OperatingSystemDistribution.WINDOWS_SVR_2008: 4>, 'OSVersion': <OperatingSystemVersion.W6_1_7601: 13>, 'Architecture': <Architecture.x64: 2>}}}",-0.1,ExploitRemoteService 10.0.94.190,"{'success': <TrinaryEnum.TRUE: 1>, '10.0.94.178': {'Processes': [{'Connections': [{'local_port': 4444, 'remote_port': 59047, 'local_address': IPv4Address('10.0.94.178'), 'remote_address': IPv4Address('10.0.94.190')}], 'Process Type': <ProcessType.REVERSE_SESSION_HANDLER: 10>}], 'Interface': [{'IP Address': IPv4Address('10.0.94.178')}]}, '10.0.94.190': {'Processes': [{'Connections': [{'local_port': 59047, 'remote_port': 4444, 'local_address': IPv4Address('10.0.94.190'), 'remote_address': IPv4Address('10.0.94.178')}], 'Process Type': <ProcessType.REVERSE_SESSION: 11>}, {'Connections': [{'local_port': 3389, 'local_address': IPv4Address('10.0.94.190'), 'Status': <ProcessState.OPEN: 2>}], 'Process Type': <ProcessType.RDP: 9>}], 'Interface': [{'IP Address': IPv4Address('10.0.94.190')}], 'Sessions': [{'ID': 3, 'Type': <SessionType.RED_REVERSE_SHELL: 11>, 'Agent': 'Red'}], 'System info': {'Hostname': 'User2', 'OSType': <OperatingSystemType.WINDOWS: 2>}}}",0.1
9,DecoyFemitter Enterprise1,"{'Enterprise1': {'Processes': [{'PID': 3267, 'PPID': 1, 'Service Name': 'femitter', 'Username': 'SYSTEM'}]}}",-0.1,PrivilegeEscalate User2,"{'success': <TrinaryEnum.TRUE: 1>, 'User2': {'Sessions': [{'Username': 'SYSTEM', 'ID': 1, 'Timeout': 0, 'PID': 18866, 'Type': <SessionType.RED_REVERSE_SHELL: 11>, 'Agent': 'Red'}], 'Processes': [{'PID': 18866, 'Username': 'SYSTEM'}], 'Interface': [{'Interface Name': 'eth0', 'IP Address': IPv4Address('10.0.94.190'), 'Subnet': IPv4Network('10.0.94.176/28')}]}, 'Enterprise1': {'Interface': [{'IP Address': IPv4Address('10.0.11.20')}]}}",0.1
