Iteration,Blue Action,Blue Observation,Blue Reward,Red Action,Red Observation,Red Reward
0,DecoySmss User2,{'success': <TrinaryEnum.FALSE: 3>},0.0,DiscoverRemoteSystems user_subnet,"{'success': <TrinaryEnum.TRUE: 1>, '10.0.214.186': {'Interface': [{'IP Address': IPv4Address('10.0.214.186'), 'Subnet': IPv4Network('10.0.214.176/28')}]}, '10.0.214.187': {'Interface': [{'IP Address': IPv4Address('10.0.214.187'), 'Subnet': IPv4Network('10.0.214.176/28')}]}, '10.0.214.182': {'Interface': [{'IP Address': IPv4Address('10.0.214.182'), 'Subnet': IPv4Network('10.0.214.176/28')}]}, '10.0.214.180': {'Interface': [{'IP Address': IPv4Address('10.0.214.180'), 'Subnet': IPv4Network('10.0.214.176/28')}]}, '10.0.214.189': {'Interface': [{'IP Address': IPv4Address('10.0.214.189'), 'Subnet': IPv4Network('10.0.214.176/28')}]}}",-0.0
1,DecoyApache Enterprise2,"{'success': <TrinaryEnum.FALSE: 3>, 'User2': {'Processes': [{'Connections': [{'local_port': 445, 'remote_port': 51181, 'local_address': IPv4Address('10.0.214.182'), 'remote_address': IPv4Address('10.0.214.186')}]}, {'Connections': [{'local_port': 139, 'remote_port': 57003, 'local_address': IPv4Address('10.0.214.182'), 'remote_address': IPv4Address('10.0.214.186')}]}, {'Connections': [{'local_port': 135, 'remote_port': 52602, 'local_address': IPv4Address('10.0.214.182'), 'remote_address': IPv4Address('10.0.214.186')}]}, {'Connections': [{'local_port': 3389, 'remote_port': 50152, 'local_address': IPv4Address('10.0.214.182'), 'remote_address': IPv4Address('10.0.214.186')}]}], 'Interface': [{'IP Address': IPv4Address('10.0.214.182')}], 'System info': {'Hostname': 'User2', 'OSType': <OperatingSystemType.WINDOWS: 2>, 'OSDistribution': <OperatingSystemDistribution.WINDOWS_SVR_2008: 4>, 'OSVersion': <OperatingSystemVersion.W6_1_7601: 13>, 'Architecture': <Architecture.x64: 2>}}}",0.0,DiscoverNetworkServices User2,"{'success': <TrinaryEnum.TRUE: 1>, '10.0.214.182': {'Processes': [{'Connections': [{'local_port': 445, 'local_address': IPv4Address('10.0.214.182')}]}, {'Connections': [{'local_port': 139, 'local_address': IPv4Address('10.0.214.182')}]}, {'Connections': [{'local_port': 135, 'local_address': IPv4Address('10.0.214.182')}]}, {'Connections': [{'local_port': 3389, 'local_address': IPv4Address('10.0.214.182')}]}], 'Interface': [{'IP Address': IPv4Address('10.0.214.182')}]}}",-0.0
2,DecoyTomcat Enterprise0,"{'success': <TrinaryEnum.TRUE: 1>, 'Enterprise0': {'Processes': [{'PID': 6651, 'PPID': 1, 'Service Name': 'tomcat', 'Username': 'ubuntu', 'Properties': ['rfi']}]}, 'User2': {'Processes': [{'Connections': [{'local_port': 139, 'remote_port': 50331, 'local_address': IPv4Address('10.0.214.182'), 'remote_address': IPv4Address('10.0.214.186')}]}, {'PID': 19730, 'Connections': [{'local_port': 59751, 'remote_port': 4444, 'local_address': IPv4Address('10.0.214.182'), 'remote_address': IPv4Address('10.0.214.186')}]}], 'Interface': [{'IP Address': IPv4Address('10.0.214.182')}], 'System info': {'Hostname': 'User2', 'OSType': <OperatingSystemType.WINDOWS: 2>, 'OSDistribution': <OperatingSystemDistribution.WINDOWS_SVR_2008: 4>, 'OSVersion': <OperatingSystemVersion.W6_1_7601: 13>, 'Architecture': <Architecture.x64: 2>}}}",-0.1,ExploitRemoteService User2,"{'success': <TrinaryEnum.TRUE: 1>, '10.0.214.186': {'Processes': [{'Connections': [{'local_port': 4444, 'remote_port': 59751, 'local_address': IPv4Address('10.0.214.186'), 'remote_address': IPv4Address('10.0.214.182')}], 'Process Type': <ProcessType.REVERSE_SESSION_HANDLER: 10>}], 'Interface': [{'IP Address': IPv4Address('10.0.214.186')}]}, '10.0.214.182': {'Processes': [{'Connections': [{'local_port': 59751, 'remote_port': 4444, 'local_address': IPv4Address('10.0.214.182'), 'remote_address': IPv4Address('10.0.214.186')}], 'Process Type': <ProcessType.REVERSE_SESSION: 11>}, {'Connections': [{'local_port': 139, 'local_address': IPv4Address('10.0.214.182'), 'Status': <ProcessState.OPEN: 2>}], 'Process Type': <ProcessType.SMB: 4>}], 'Interface': [{'IP Address': IPv4Address('10.0.214.182')}], 'Sessions': [{'ID': 1, 'Type': <SessionType.RED_REVERSE_SHELL: 11>, 'Agent': 'Red'}], 'System info': {'Hostname': 'User2', 'OSType': <OperatingSystemType.WINDOWS: 2>}}}",0.1
3,DecoyFemitter Enterprise1,"{'success': <TrinaryEnum.TRUE: 1>, 'Enterprise1': {'Processes': [{'PID': 30613, 'PPID': 1, 'Service Name': 'femitter', 'Username': 'SYSTEM'}]}}",-0.1,PrivilegeEscalate User2,"{'success': <TrinaryEnum.TRUE: 1>, 'User2': {'Sessions': [{'Username': 'SYSTEM', 'ID': 1, 'Timeout': 0, 'PID': 19730, 'Type': <SessionType.RED_REVERSE_SHELL: 11>, 'Agent': 'Red'}], 'Processes': [{'PID': 19730, 'Username': 'SYSTEM'}], 'Interface': [{'Interface Name': 'eth0', 'IP Address': IPv4Address('10.0.214.182'), 'Subnet': IPv4Network('10.0.214.176/28')}]}, 'Enterprise1': {'Interface': [{'IP Address': IPv4Address('10.0.120.158')}]}}",0.1
4,Analyse Enterprise1,"{'success': <TrinaryEnum.TRUE: 1>, 'Enterprise1': {'Processes': [{'Connections': [{'local_port': 22, 'remote_port': 58924, 'local_address': IPv4Address('10.0.120.158'), 'remote_address': IPv4Address('10.0.214.186')}]}, {'Connections': [{'local_port': 135, 'remote_port': 50805, 'local_address': IPv4Address('10.0.120.158'), 'remote_address': IPv4Address('10.0.214.186')}]}, {'Connections': [{'local_port': 3389, 'remote_port': 55562, 'local_address': IPv4Address('10.0.120.158'), 'remote_address': IPv4Address('10.0.214.186')}]}, {'Connections': [{'local_port': 445, 'remote_port': 52418, 'local_address': IPv4Address('10.0.120.158'), 'remote_address': IPv4Address('10.0.214.186')}]}, {'Connections': [{'local_port': 139, 'remote_port': 53414, 'local_address': IPv4Address('10.0.120.158'), 'remote_address': IPv4Address('10.0.214.186')}]}, {'Connections': [{'local_port': 80, 'remote_port': 55026, 'local_address': IPv4Address('10.0.120.158'), 'remote_address': IPv4Address('10.0.214.186')}]}, {'Connections': [{'local_port': 443, 'remote_port': 56856, 'local_address': IPv4Address('10.0.120.158'), 'remote_address': IPv4Address('10.0.214.186')}]}, {'Connections': [{'local_port': 21, 'remote_port': 58487, 'local_address': IPv4Address('10.0.120.158'), 'remote_address': IPv4Address('10.0.214.186')}]}], 'Interface': [{'IP Address': IPv4Address('10.0.120.158')}], 'System info': {'Hostname': 'Enterprise1', 'OSType': <OperatingSystemType.WINDOWS: 2>, 'OSDistribution': <OperatingSystemDistribution.WINDOWS_SVR_2008: 4>, 'OSVersion': <OperatingSystemVersion.W6_1_7601: 13>, 'Architecture': <Architecture.x64: 2>}}}",-0.1,DiscoverNetworkServices Enterprise1,"{'success': <TrinaryEnum.TRUE: 1>, '10.0.120.158': {'Processes': [{'Connections': [{'local_port': 22, 'local_address': IPv4Address('10.0.120.158')}]}, {'Connections': [{'local_port': 135, 'local_address': IPv4Address('10.0.120.158')}]}, {'Connections': [{'local_port': 3389, 'local_address': IPv4Address('10.0.120.158')}]}, {'Connections': [{'local_port': 445, 'local_address': IPv4Address('10.0.120.158')}]}, {'Connections': [{'local_port': 139, 'local_address': IPv4Address('10.0.120.158')}]}, {'Connections': [{'local_port': 80, 'local_address': IPv4Address('10.0.120.158')}]}, {'Connections': [{'local_port': 443, 'local_address': IPv4Address('10.0.120.158')}]}, {'Connections': [{'local_port': 21, 'local_address': IPv4Address('10.0.120.158')}]}], 'Interface': [{'IP Address': IPv4Address('10.0.120.158')}]}}",0.1
5,Analyse Enterprise1,"{'success': <TrinaryEnum.TRUE: 1>, 'Enterprise1': {'Processes': [{'Connections': [{'local_port': 21, 'remote_port': 50103, 'local_address': IPv4Address('10.0.120.158'), 'remote_address': IPv4Address('10.0.214.186')}]}, {'Connections': [{'local_port': 21, 'local_address': IPv4Address('10.0.120.158'), 'remote_address': IPv4Address('10.0.214.186')}]}], 'Interface': [{'IP Address': IPv4Address('10.0.120.158')}], 'System info': {'Hostname': 'Enterprise1', 'OSType': <OperatingSystemType.WINDOWS: 2>, 'OSDistribution': <OperatingSystemDistribution.WINDOWS_SVR_2008: 4>, 'OSVersion': <OperatingSystemVersion.W6_1_7601: 13>, 'Architecture': <Architecture.x64: 2>}}}",-0.1,ExploitRemoteService Enterprise1,"{'success': <TrinaryEnum.FALSE: 3>, '1': {'Interface': [{'IP Address': IPv4Address('10.0.120.158')}]}, '10.0.120.158': {'Processes': [{'Connections': [{'local_port': 21, 'local_address': IPv4Address('10.0.120.158'), 'Status': <ProcessState.OPEN: 2>}], 'Process Type': <ProcessType.FEMITTER: 6>}], 'Interface': [{'IP Address': IPv4Address('10.0.120.158')}]}}",0.1
6,Analyse Enterprise1,"{'success': <TrinaryEnum.TRUE: 1>, 'User2': {'Processes': [{'Connections': [{'local_port': 139, 'remote_port': 53259, 'local_address': IPv4Address('10.0.214.182'), 'remote_address': IPv4Address('10.0.214.186')}]}, {'PID': 28987, 'Connections': [{'local_port': 51072, 'remote_port': 4444, 'local_address': IPv4Address('10.0.214.182'), 'remote_address': IPv4Address('10.0.214.186')}]}], 'Interface': [{'IP Address': IPv4Address('10.0.214.182')}], 'System info': {'Hostname': 'User2', 'OSType': <OperatingSystemType.WINDOWS: 2>, 'OSDistribution': <OperatingSystemDistribution.WINDOWS_SVR_2008: 4>, 'OSVersion': <OperatingSystemVersion.W6_1_7601: 13>, 'Architecture': <Architecture.x64: 2>}}}",-0.1,ExploitRemoteService User2,"{'success': <TrinaryEnum.TRUE: 1>, '10.0.214.186': {'Processes': [{'Connections': [{'local_port': 4444, 'remote_port': 51072, 'local_address': IPv4Address('10.0.214.186'), 'remote_address': IPv4Address('10.0.214.182')}], 'Process Type': <ProcessType.REVERSE_SESSION_HANDLER: 10>}], 'Interface': [{'IP Address': IPv4Address('10.0.214.186')}]}, '10.0.214.182': {'Processes': [{'Connections': [{'local_port': 51072, 'remote_port': 4444, 'local_address': IPv4Address('10.0.214.182'), 'remote_address': IPv4Address('10.0.214.186')}], 'Process Type': <ProcessType.REVERSE_SESSION: 11>}, {'Connections': [{'local_port': 139, 'local_address': IPv4Address('10.0.214.182'), 'Status': <ProcessState.OPEN: 2>}], 'Process Type': <ProcessType.SMB: 4>}], 'Interface': [{'IP Address': IPv4Address('10.0.214.182')}], 'Sessions': [{'ID': 2, 'Type': <SessionType.RED_REVERSE_SHELL: 11>, 'Agent': 'Red'}], 'System info': {'Hostname': 'User2', 'OSType': <OperatingSystemType.WINDOWS: 2>}}}",0.1
7,DecoyFemitter Enterprise1,{'success': <TrinaryEnum.FALSE: 3>},-0.1,PrivilegeEscalate User2,"{'success': <TrinaryEnum.TRUE: 1>, 'User2': {'Sessions': [{'Username': 'SYSTEM', 'ID': 1, 'Timeout': 0, 'PID': 19730, 'Type': <SessionType.RED_REVERSE_SHELL: 11>, 'Agent': 'Red'}], 'Processes': [{'PID': 19730, 'Username': 'SYSTEM'}], 'Interface': [{'Interface Name': 'eth0', 'IP Address': IPv4Address('10.0.214.182'), 'Subnet': IPv4Network('10.0.214.176/28')}]}, 'Enterprise1': {'Interface': [{'IP Address': IPv4Address('10.0.120.158')}]}}",0.1
8,Analyse Enterprise1,"{'success': <TrinaryEnum.TRUE: 1>, 'Enterprise1': {'Processes': [{'Connections': [{'local_port': 22, 'remote_port': 55867, 'local_address': IPv4Address('10.0.120.158'), 'remote_address': IPv4Address('10.0.214.186')}]}, {'Connections': [{'local_port': 135, 'remote_port': 58476, 'local_address': IPv4Address('10.0.120.158'), 'remote_address': IPv4Address('10.0.214.186')}]}, {'Connections': [{'local_port': 3389, 'remote_port': 57484, 'local_address': IPv4Address('10.0.120.158'), 'remote_address': IPv4Address('10.0.214.186')}]}, {'Connections': [{'local_port': 445, 'remote_port': 54254, 'local_address': IPv4Address('10.0.120.158'), 'remote_address': IPv4Address('10.0.214.186')}]}, {'Connections': [{'local_port': 139, 'remote_port': 59784, 'local_address': IPv4Address('10.0.120.158'), 'remote_address': IPv4Address('10.0.214.186')}]}, {'Connections': [{'local_port': 80, 'remote_port': 55003, 'local_address': IPv4Address('10.0.120.158'), 'remote_address': IPv4Address('10.0.214.186')}]}, {'Connections': [{'local_port': 443, 'remote_port': 55519, 'local_address': IPv4Address('10.0.120.158'), 'remote_address': IPv4Address('10.0.214.186')}]}, {'Connections': [{'local_port': 21, 'remote_port': 59926, 'local_address': IPv4Address('10.0.120.158'), 'remote_address': IPv4Address('10.0.214.186')}]}], 'Interface': [{'IP Address': IPv4Address('10.0.120.158')}], 'System info': {'Hostname': 'Enterprise1', 'OSType': <OperatingSystemType.WINDOWS: 2>, 'OSDistribution': <OperatingSystemDistribution.WINDOWS_SVR_2008: 4>, 'OSVersion': <OperatingSystemVersion.W6_1_7601: 13>, 'Architecture': <Architecture.x64: 2>}}}",-0.1,DiscoverNetworkServices Enterprise1,"{'success': <TrinaryEnum.TRUE: 1>, '10.0.120.158': {'Processes': [{'Connections': [{'local_port': 22, 'local_address': IPv4Address('10.0.120.158')}]}, {'Connections': [{'local_port': 135, 'local_address': IPv4Address('10.0.120.158')}]}, {'Connections': [{'local_port': 3389, 'local_address': IPv4Address('10.0.120.158')}]}, {'Connections': [{'local_port': 445, 'local_address': IPv4Address('10.0.120.158')}]}, {'Connections': [{'local_port': 139, 'local_address': IPv4Address('10.0.120.158')}]}, {'Connections': [{'local_port': 80, 'local_address': IPv4Address('10.0.120.158')}]}, {'Connections': [{'local_port': 443, 'local_address': IPv4Address('10.0.120.158')}]}, {'Connections': [{'local_port': 21, 'local_address': IPv4Address('10.0.120.158')}]}], 'Interface': [{'IP Address': IPv4Address('10.0.120.158')}]}}",0.1
9,Analyse Enterprise1,"{'success': <TrinaryEnum.TRUE: 1>, 'Enterprise1': {'Processes': [{'Connections': [{'local_port': 21, 'remote_port': 56655, 'local_address': IPv4Address('10.0.120.158'), 'remote_address': IPv4Address('10.0.214.186')}]}, {'Connections': [{'local_port': 21, 'local_address': IPv4Address('10.0.120.158'), 'remote_address': IPv4Address('10.0.214.186')}]}], 'Interface': [{'IP Address': IPv4Address('10.0.120.158')}], 'System info': {'Hostname': 'Enterprise1', 'OSType': <OperatingSystemType.WINDOWS: 2>, 'OSDistribution': <OperatingSystemDistribution.WINDOWS_SVR_2008: 4>, 'OSVersion': <OperatingSystemVersion.W6_1_7601: 13>, 'Architecture': <Architecture.x64: 2>}}}",-0.1,ExploitRemoteService Enterprise1,"{'success': <TrinaryEnum.FALSE: 3>, '1': {'Interface': [{'IP Address': IPv4Address('10.0.120.158')}]}, '10.0.120.158': {'Processes': [{'Connections': [{'local_port': 21, 'local_address': IPv4Address('10.0.120.158'), 'Status': <ProcessState.OPEN: 2>}], 'Process Type': <ProcessType.FEMITTER: 6>}], 'Interface': [{'IP Address': IPv4Address('10.0.120.158')}]}}",0.1
